
supply temperature, 26.3, 2024-11-02T11:08:09.609Z, 2024-11-02T11:08:42.012Z
return temperature, 22.4, 2024-11-02T11:07:25.084Z, 2024-11-02T11:08:42.012Z
volumetric flow, 1225, 2024-11-02T11:08:38.214Z, 2024-11-02T11:08:42.012Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:08:42.012Z
outside temperature, 11.7, 2024-11-02T11:01:31.048Z, 2024-11-02T11:08:42.012Z
supply temperature, 26.3, 2024-11-02T11:08:09.609Z, 2024-11-02T11:09:12.016Z
return temperature, 22.4, 2024-11-02T11:07:25.084Z, 2024-11-02T11:09:12.016Z
volumetric flow, 1225, 2024-11-02T11:08:38.214Z, 2024-11-02T11:09:12.016Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:09:12.016Z
outside temperature, 11.7, 2024-11-02T11:01:31.048Z, 2024-11-02T11:09:12.016Z
supply temperature, 26.3, 2024-11-02T11:08:09.609Z, 2024-11-02T11:09:42.021Z
return temperature, 22.4, 2024-11-02T11:07:25.084Z, 2024-11-02T11:09:42.021Z
volumetric flow, 1225, 2024-11-02T11:08:38.214Z, 2024-11-02T11:09:42.021Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:09:42.021Z
outside temperature, 11.7, 2024-11-02T11:01:31.048Z, 2024-11-02T11:09:42.021Z
supply temperature, 26.5, 2024-11-02T11:09:35.071Z, 2024-11-02T11:10:12.026Z
return temperature, 22.5, 2024-11-02T11:09:59.361Z, 2024-11-02T11:10:12.026Z
volumetric flow, 1238, 2024-11-02T11:10:11.563Z, 2024-11-02T11:10:12.026Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:10:12.026Z
outside temperature, 11.6, 2024-11-02T11:10:11.563Z, 2024-11-02T11:10:12.026Z
supply temperature, 26.5, 2024-11-02T11:09:35.071Z, 2024-11-02T11:10:42.227Z
return temperature, 22.5, 2024-11-02T11:09:59.361Z, 2024-11-02T11:10:42.227Z
volumetric flow, 1238, 2024-11-02T11:10:11.563Z, 2024-11-02T11:10:42.227Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:10:42.227Z
outside temperature, 11.6, 2024-11-02T11:10:11.563Z, 2024-11-02T11:10:42.227Z
supply temperature, 26.5, 2024-11-02T11:09:35.071Z, 2024-11-02T11:11:12.232Z
return temperature, 22.5, 2024-11-02T11:09:59.361Z, 2024-11-02T11:11:12.232Z
volumetric flow, 1238, 2024-11-02T11:10:11.563Z, 2024-11-02T11:11:12.232Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:11:12.232Z
outside temperature, 11.6, 2024-11-02T11:10:11.563Z, 2024-11-02T11:11:12.232Z
supply temperature, 26.7, 2024-11-02T11:11:25.523Z, 2024-11-02T11:11:42.237Z
return temperature, 22.6, 2024-11-02T11:11:37.655Z, 2024-11-02T11:11:42.237Z
volumetric flow, 1241, 2024-11-02T11:11:41.822Z, 2024-11-02T11:11:42.237Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:11:42.237Z
outside temperature, 11.7, 2024-11-02T11:11:25.523Z, 2024-11-02T11:11:42.237Z
supply temperature, 26.7, 2024-11-02T11:11:25.523Z, 2024-11-02T11:12:12.492Z
return temperature, 22.6, 2024-11-02T11:11:37.655Z, 2024-11-02T11:12:12.492Z
volumetric flow, 1241, 2024-11-02T11:11:41.822Z, 2024-11-02T11:12:12.492Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:12:12.492Z
outside temperature, 11.7, 2024-11-02T11:11:25.523Z, 2024-11-02T11:12:12.492Z
supply temperature, 26.7, 2024-11-02T11:11:25.523Z, 2024-11-02T11:12:42.497Z
return temperature, 22.6, 2024-11-02T11:11:37.655Z, 2024-11-02T11:12:42.497Z
volumetric flow, 1241, 2024-11-02T11:11:41.822Z, 2024-11-02T11:12:42.497Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:12:42.497Z
outside temperature, 11.7, 2024-11-02T11:11:25.523Z, 2024-11-02T11:12:42.497Z
supply temperature, 26.8, 2024-11-02T11:12:02.143Z, 2024-11-02T11:13:12.502Z
return temperature, 22.7, 2024-11-02T11:13:11.007Z, 2024-11-02T11:13:12.502Z
volumetric flow, 1235, 2024-11-02T11:13:11.007Z, 2024-11-02T11:13:12.502Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:13:12.502Z
